Var1_1	Var1_2	Var1_3	Var1_4	Var1_5	Var1_6	Var1_7	Var1_8
10	2.873	2	0.71	1.6	0.969	1	0.017
11	2.876	2	0.71	1.6	0.969	1	0.022
12	2.88	2	0.71	1.6	0.969	1	0.026
13	2.878	2	0.71	1.6	0.969	1	0.035
14	2.882	2	0.71	1.6	0.969	1	0.047
15	2.882	2	0.71	1.6	0.969	1	0.048
16	2.883	2	0.71	1.6	0.969	1	0.056
17	2.883	2	0.71	1.6	0.969	1	0.063
18	2.884	2	0.71	1.6	0.969	1	0.091
19	2.884	2	0.71	1.6	0.969	1	0.105
20	2.884	2	0.71	1.6	0.969	1	0.13
0	0.282	2	0.71	1.8	0.969	1	0.01
1	0.711	2	0.71	1.8	0.969	1	0.009
2	1.095	2	0.71	1.8	0.969	1	0.012
3	1.535	2	0.71	1.8	0.969	1	0.011
4	1.885	2	0.71	1.8	0.969	1	0.009
5	2.114	2	0.71	1.8	0.969	1	0.01
6	2.238	2	0.71	1.8	0.969	1	0.01
7	2.321	2	0.71	1.8	0.969	1	0.011
8	2.374	2	0.71	1.8	0.969	1	0.013
9	2.413	2	0.71	1.8	0.969	1	0.014
10	2.439	2	0.71	1.8	0.969	1	0.021
11	2.456	2	0.71	1.8	0.969	1	0.023
12	2.458	2	0.71	1.8	0.969	1	0.03
13	2.456	2	0.71	1.8	0.969	1	0.032
14	2.457	2	0.71	1.8	0.969	1	0.04
15	2.458	2	0.71	1.8	0.969	1	0.051
16	2.459	2	0.71	1.8	0.969	1	0.053
17	2.459	2	0.71	1.8	0.969	1	0.067
18	2.458	2	0.71	1.8	0.969	1	0.084
19	2.458	2	0.71	1.8	0.969	1	0.094
20	2.458	2	0.71	1.8	0.969	1	0.121
0	0.276	2	0.71	2	0.969	1	0.009
1	0.65	2	0.71	2	0.969	1	0.012
2	0.94	2	0.71	2	0.969	1	0.008
3	1.142	2	0.71	2	0.969	1	0.009
4	1.296	2	0.71	2	0.969	1	0.009
5	1.398	2	0.71	2	0.969	1	0.01
6	1.43	2	0.71	2	0.969	1	0.01
7	1.478	2	0.71	2	0.969	1	0.011
8	1.501	2	0.71	2	0.969	1	0.015
9	1.509	2	0.71	2	0.969	1	0.019
10	1.513	2	0.71	2	0.969	1	0.017
11	1.525	2	0.71	2	0.969	1	0.019
12	1.531	2	0.71	2	0.969	1	0.024
13	1.534	2	0.71	2	0.969	1	0.029
14	1.535	2	0.71	2	0.969	1	0.044
15	1.535	2	0.71	2	0.969	1	0.057
16	1.536	2	0.71	2	0.969	1	0.053
17	1.536	2	0.71	2	0.969	1	0.068
18	1.536	2	0.71	2	0.969	1	0.084
19	1.536	2	0.71	2	0.969	1	0.109
20	1.536	2	0.71	2	0.969	1	0.128
0	0.272	2	0.71	2.2	0.969	1	0.009
1	0.628	2	0.71	2.2	0.969	1	0.01
2	1.187	2	0.71	2.2	0.969	1	0.009
3	1.548	2	0.71	2.2	0.969	1	0.011
4	1.773	2	0.71	2.2	0.969	1	0.009
5	1.904	2	0.71	2.2	0.969	1	0.013
6	1.976	2	0.71	2.2	0.969	1	0.012
7	2.02	2	0.71	2.2	0.969	1	0.016
8	2.045	2	0.71	2.2	0.969	1	0.018
9	2.069	2	0.71	2.2	0.969	1	0.021
10	2.078	2	0.71	2.2	0.969	1	0.023
11	2.082	2	0.71	2.2	0.969	1	0.026
12	2.085	2	0.71	2.2	0.969	1	0.026
13	2.087	2	0.71	2.2	0.969	1	0.033
14	2.087	2	0.71	2.2	0.969	1	0.043
15	2.087	2	0.71	2.2	0.969	1	0.051
16	2.087	2	0.71	2.2	0.969	1	0.061
17	2.088	2	0.71	2.2	0.969	1	0.073
18	2.087	2	0.71	2.2	0.969	1	0.097
19	2.087	2	0.71	2.2	0.969	1	0.118
20	2.087	2	0.71	2.2	0.969	1	0.147
0	0.269	2	0.71	2.4	0.969	1	0.012
1	0.615	2	0.71	2.4	0.969	1	0.012
2	1.023	2	0.71	2.4	0.969	1	0.013
3	1.366	2	0.71	2.4	0.969	1	0.013
4	1.607	2	0.71	2.4	0.969	1	0.011
5	1.743	2	0.71	2.4	0.969	1	0.01
6	1.812	2	0.71	2.4	0.969	1	0.013
7	1.85	2	0.71	2.4	0.969	1	0.016
8	1.87	2	0.71	2.4	0.969	1	0.017
9	1.881	2	0.71	2.4	0.969	1	0.017
10	1.887	2	0.71	2.4	0.969	1	0.019
11	1.892	2	0.71	2.4	0.969	1	0.024
12	1.894	2	0.71	2.4	0.969	1	0.025
13	1.896	2	0.71	2.4	0.969	1	0.032
14	1.898	2	0.71	2.4	0.969	1	0.035
15	1.898	2	0.71	2.4	0.969	1	0.044
16	1.898	2	0.71	2.4	0.969	1	0.058
17	1.898	2	0.71	2.4	0.969	1	0.07
18	1.898	2	0.71	2.4	0.969	1	0.08
19	1.898	2	0.71	2.4	0.969	1	0.099
20	1.899	2	0.71	2.4	0.969	1	0.13
0	0.266	2	0.71	2.6	0.969	1	0.009
1	0.606	2	0.71	2.6	0.969	1	0.008
2	0.845	2	0.71	2.6	0.969	1	0.009
3	0.995	2	0.71	2.6	0.969	1	0.009
4	1.088	2	0.71	2.6	0.969	1	0.009
5	1.16	2	0.71	2.6	0.969	1	0.009
6	1.201	2	0.71	2.6	0.969	1	0.01
7	1.228	2	0.71	2.6	0.969	1	0.011
8	1.242	2	0.71	2.6	0.969	1	0.013
9	1.248	2	0.71	2.6	0.969	1	0.019
