Var1_ 1	Var1_ 2	Var1_ 3	Var1_ 4	Var1_ 5	Var1_ 6	Var1_ 7	Var1_ 8	Var1_ 9	Var1_10
10	1.138	3	0.71	-0.08	-0.06	1	1	1	2.604
10	1.219	3	0.71	-0.06	-0.06	1	1	1	2.356
10	1.382	3	0.71	-0.04	-0.06	1	1	1	2.54
10	1.711	3	0.71	-0.02	-0.06	1	1	1	2.43
10	2.002	3	0.71	0	-0.06	1	1	1	2.342
10	1.711	3	0.71	0.02	-0.06	1	1	1	2.345
10	1.382	3	0.71	0.04	-0.06	1	1	1	2.283
10	1.219	3	0.71	0.06	-0.06	1	1	1	2.495
10	1.138	3	0.71	0.08	-0.06	1	1	1	2.486
10	1.094	3	0.71	0.1	-0.06	1	1	1	2.366
10	1.068	3	0.71	0.12	-0.06	1	1	1	2.25
10	1.052	3	0.71	0.14	-0.06	1	1	1	2.396
10	1.042	3	0.71	0.16	-0.06	1	1	1	2.417
10	1.06	3	0.71	0.18	-0.06	1	1	1	2.377
10	1.038	3	0.71	0.2	-0.06	1	1	1	2.271
10	1.037	3	0.71	0.22	-0.06	1	1	1	2.335
10	1.024	3	0.71	0.24	-0.06	1	1	1	2.245
10	1.018	3	0.71	0.26	-0.06	1	1	1	2.378
10	1.018	3	0.71	0.28	-0.06	1	1	1	2.447
10	1.015	3	0.71	0.3	-0.06	1	1	1	2.363
10	1.013	3	0.71	0.32	-0.06	1	1	1	2.408
10	1.012	3	0.71	0.34	-0.06	1	1	1	2.419
10	1.011	3	0.71	0.36	-0.06	1	1	1	2.437
10	1.018	3	0.71	0.38	-0.06	1	1	1	2.372
10	1.011	3	0.71	0.4	-0.06	1	1	1	2.335
10	1.093	3	0.71	0.42	-0.06	1	1	1	2.32
10	1.013	3	0.71	0.44	-0.06	1	1	1	2.483
10	1.024	3	0.71	0.46	-0.06	1	1	1	2.441
10	1.382	3	0.71	0.48	-0.06	1	1	1	2.301
10	1.055	3	0.71	0.5	-0.06	1	1	1	2.476
10	1.472	3	0.71	0.52	-0.06	1	1	1	2.552
10	1.045	3	0.71	0.54	-0.06	1	1	1	2.582
10	1.022	3	0.71	0.56	-0.06	1	1	1	2.47
10	1.02	3	0.71	0.58	-0.06	1	1	1	2.512
10	1.022	3	0.71	0.6	-0.06	1	1	1	2.598
10	1.029	3	0.71	0.62	-0.06	1	1	1	2.488
10	1.043	3	0.71	0.64	-0.06	1	1	1	2.369
10	1.078	3	0.71	0.66	-0.06	1	1	1	2.426
10	1.191	3	0.71	0.68	-0.06	1	1	1	2.387
10	1.69	3	0.71	0.7	-0.06	1	1	1	2.275
10	1.569	3	0.71	0.72	-0.06	1	1	1	2.27
10	1.192	3	0.71	0.74	-0.06	1	1	1	2.314
10	1.072	3	0.71	0.76	-0.06	1	1	1	2.489
