Var1_1	Var1_2	Var1_3	Var1_4	Var1_5	Var1_6	Var1_7	Var1_8
3	1.431	1	0.724	1.4	0.73	0.8	0.005
4	1.566	1	0.724	1.4	0.73	0.8	0.004
5	1.646	1	0.724	1.4	0.73	0.8	0.005
6	1.686	1	0.724	1.4	0.73	0.8	0.005
7	1.702	1	0.724	1.4	0.73	0.8	0.005
8	1.706	1	0.724	1.4	0.73	0.8	0.006
9	1.707	1	0.724	1.4	0.73	0.8	0.005
10	1.708	1	0.724	1.4	0.73	0.8	0.005
11	1.708	1	0.724	1.4	0.73	0.8	0.004
12	1.71	1	0.724	1.4	0.73	0.8	0.006
13	1.711	1	0.724	1.4	0.73	0.8	0.004
14	1.71	1	0.724	1.4	0.73	0.8	0.004
15	1.71	1	0.724	1.4	0.73	0.8	0.005
16	1.711	1	0.724	1.4	0.73	0.8	0.006
17	1.71	1	0.724	1.4	0.73	0.8	0.005
18	1.71	1	0.724	1.4	0.73	0.8	0.004
19	1.71	1	0.724	1.4	0.73	0.8	0.005
20	1.71	1	0.724	1.4	0.73	0.8	0.005
0	0.614	1	0.724	1.5	0.73	0.8	0.005
1	0.917	1	0.724	1.5	0.73	0.8	0.004
2	1.126	1	0.724	1.5	0.73	0.8	0.004
3	1.263	1	0.724	1.5	0.73	0.8	0.005
4	1.35	1	0.724	1.5	0.73	0.8	0.005
5	1.404	1	0.724	1.5	0.73	0.8	0.006
6	1.437	1	0.724	1.5	0.73	0.8	0.005
7	1.455	1	0.724	1.5	0.73	0.8	0.005
8	1.464	1	0.724	1.5	0.73	0.8	0.005
9	1.467	1	0.724	1.5	0.73	0.8	0.005
10	1.469	1	0.724	1.5	0.73	0.8	0.005
11	1.47	1	0.724	1.5	0.73	0.8	0.004
12	1.471	1	0.724	1.5	0.73	0.8	0.005
13	1.471	1	0.724	1.5	0.73	0.8	0.005
14	1.471	1	0.724	1.5	0.73	0.8	0.005
15	1.471	1	0.724	1.5	0.73	0.8	0.006
16	1.472	1	0.724	1.5	0.73	0.8	0.006
17	1.471	1	0.724	1.5	0.73	0.8	0.005
18	1.471	1	0.724	1.5	0.73	0.8	0.006
19	1.471	1	0.724	1.5	0.73	0.8	0.005
20	1.471	1	0.724	1.5	0.73	0.8	0.005
0	0.608	1	0.724	1.6	0.73	0.8	0.005
1	0.901	1	0.724	1.6	0.73	0.8	0.004
2	1.076	1	0.724	1.6	0.73	0.8	0.004
3	1.181	1	0.724	1.6	0.73	0.8	0.004
4	1.245	1	0.724	1.6	0.73	0.8	0.005
5	1.285	1	0.724	1.6	0.73	0.8	0.004
6	1.309	1	0.724	1.6	0.73	0.8	0.005
7	1.323	1	0.724	1.6	0.73	0.8	0.004
8	1.331	1	0.724	1.6	0.73	0.8	0.004
9	1.335	1	0.724	1.6	0.73	0.8	0.005
10	1.337	1	0.724	1.6	0.73	0.8	0.006
11	1.336	1	0.724	1.6	0.73	0.8	0.005
12	1.336	1	0.724	1.6	0.73	0.8	0.005
13	1.337	1	0.724	1.6	0.73	0.8	0.005
14	1.337	1	0.724	1.6	0.73	0.8	0.004
15	1.337	1	0.724	1.6	0.73	0.8	0.004
16	1.337	1	0.724	1.6	0.73	0.8	0.004
17	1.337	1	0.724	1.6	0.73	0.8	0.004
18	1.337	1	0.724	1.6	0.73	0.8	0.005
19	1.337	1	0.724	1.6	0.73	0.8	0.005
20	1.337	1	0.724	1.6	0.73	0.8	0.005
0	0.602	1	0.724	1.7	0.73	0.8	0.005
1	0.889	1	0.724	1.7	0.73	0.8	0.004
2	1.044	1	0.724	1.7	0.73	0.8	0.004
3	1.134	1	0.724	1.7	0.73	0.8	0.004
4	1.19	1	0.724	1.7	0.73	0.8	0.005
5	1.226	1	0.724	1.7	0.73	0.8	0.005
6	1.246	1	0.724	1.7	0.73	0.8	0.005
7	1.258	1	0.724	1.7	0.73	0.8	0.005
8	1.263	1	0.724	1.7	0.73	0.8	0.005
9	1.266	1	0.724	1.7	0.73	0.8	0.005
10	1.267	1	0.724	1.7	0.73	0.8	0.005
11	1.267	1	0.724	1.7	0.73	0.8	0.005
12	1.268	1	0.724	1.7	0.73	0.8	0.005
13	1.269	1	0.724	1.7	0.73	0.8	0.004
14	1.269	1	0.724	1.7	0.73	0.8	0.004
15	1.269	1	0.724	1.7	0.73	0.8	0.005
16	1.269	1	0.724	1.7	0.73	0.8	0.005
17	1.269	1	0.724	1.7	0.73	0.8	0.004
18	1.269	1	0.724	1.7	0.73	0.8	0.006
19	1.269	1	0.724	1.7	0.73	0.8	0.006
20	1.269	1	0.724	1.7	0.73	0.8	0.006
0	0.598	1	0.724	1.8	0.73	0.8	0.007
1	0.879	1	0.724	1.8	0.73	0.8	0.004
2	1.023	1	0.724	1.8	0.73	0.8	0.005
3	1.11	1	0.724	1.8	0.73	0.8	0.004
4	1.17	1	0.724	1.8	0.73	0.8	0.005
5	1.21	1	0.724	1.8	0.73	0.8	0.005
6	1.231	1	0.724	1.8	0.73	0.8	0.005
7	1.24	1	0.724	1.8	0.73	0.8	0.004
8	1.245	1	0.724	1.8	0.73	0.8	0.004
9	1.248	1	0.724	1.8	0.73	0.8	0.005
10	1.249	1	0.724	1.8	0.73	0.8	0.005
11	1.25	1	0.724	1.8	0.73	0.8	0.004
12	1.251	1	0.724	1.8	0.73	0.8	0.007
13	1.252	1	0.724	1.8	0.73	0.8	0.004
14	1.252	1	0.724	1.8	0.73	0.8	0.006
15	1.253	1	0.724	1.8	0.73	0.8	0.005
16	1.252	1	0.724	1.8	0.73	0.8	0.006
17	1.252	1	0.724	1.8	0.73	0.8	0.006
18	1.252	1	0.724	1.8	0.73	0.8	0.006
19	1.252	1	0.724	1.8	0.73	0.8	0.006
20	1.253	1	0.724	1.8	0.73	0.8	0.005
