Var1_ 1	Var1_ 2	Var1_ 3	Var1_ 4	Var1_ 5	Var1_ 6	Var1_ 7	Var1_ 8	Var1_ 9	Var1_10
10	4.147	3	0.707	1.5	1.28	0.6	1.1	0.9	2.388
11	4.165	3	0.707	1.5	1.28	0.6	1.1	0.9	4.816
12	4.186	3	0.707	1.5	1.28	0.6	1.1	0.9	9.627
13	4.174	3	0.707	1.5	1.28	0.6	1.1	0.9	13.628
14	4.189	3	0.707	1.5	1.28	0.6	1.1	0.9	27.534
15	4.203	3	0.707	1.5	1.28	0.6	1.1	0.9	41.702
16	4.183	3	0.707	1.5	1.28	0.6	1.1	0.9	42.406
17	4.2	3	0.707	1.5	1.28	0.6	1.1	0.9	42.051
18	4.2	3	0.707	1.5	1.28	0.6	1.1	0.9	41.634
19	4.197	3	0.707	1.5	1.28	0.6	1.1	0.9	42.767
20	4.199	3	0.707	1.5	1.28	0.6	1.1	0.9	41.839
0	0.195	3	0.707	1.6	1.28	0.6	1.1	0.9	0.03
1	0.723	3	0.707	1.6	1.28	0.6	1.1	0.9	0.021
2	1.349	3	0.707	1.6	1.28	0.6	1.1	0.9	0.028
3	2.225	3	0.707	1.6	1.28	0.6	1.1	0.9	0.027
4	2.612	3	0.707	1.6	1.28	0.6	1.1	0.9	0.033
5	3.076	3	0.707	1.6	1.28	0.6	1.1	0.9	0.058
6	3.416	3	0.707	1.6	1.28	0.6	1.1	0.9	0.115
7	3.67	3	0.707	1.6	1.28	0.6	1.1	0.9	0.228
8	3.762	3	0.707	1.6	1.28	0.6	1.1	0.9	0.493
9	3.814	3	0.707	1.6	1.28	0.6	1.1	0.9	0.989
10	3.855	3	0.707	1.6	1.28	0.6	1.1	0.9	2.238
11	3.893	3	0.707	1.6	1.28	0.6	1.1	0.9	4.669
12	3.903	3	0.707	1.6	1.28	0.6	1.1	0.9	9.271
13	3.906	3	0.707	1.6	1.28	0.6	1.1	0.9	13.017
14	3.915	3	0.707	1.6	1.28	0.6	1.1	0.9	26.386
15	3.915	3	0.707	1.6	1.28	0.6	1.1	0.9	40.151
16	3.915	3	0.707	1.6	1.28	0.6	1.1	0.9	41.656
17	3.917	3	0.707	1.6	1.28	0.6	1.1	0.9	42.239
18	3.918	3	0.707	1.6	1.28	0.6	1.1	0.9	42.576
19	3.92	3	0.707	1.6	1.28	0.6	1.1	0.9	42.49
20	3.92	3	0.707	1.6	1.28	0.6	1.1	0.9	42.235
0	0.188	3	0.707	1.8	1.28	0.6	1.1	0.9	0.022
1	0.659	3	0.707	1.8	1.28	0.6	1.1	0.9	0.041
2	1.197	3	0.707	1.8	1.28	0.6	1.1	0.9	0.024
3	1.722	3	0.707	1.8	1.28	0.6	1.1	0.9	0.029
4	2	3	0.707	1.8	1.28	0.6	1.1	0.9	0.037
5	2.274	3	0.707	1.8	1.28	0.6	1.1	0.9	0.054
6	2.46	3	0.707	1.8	1.28	0.6	1.1	0.9	0.114
7	2.502	3	0.707	1.8	1.28	0.6	1.1	0.9	0.231
8	2.61	3	0.707	1.8	1.28	0.6	1.1	0.9	0.528
9	2.681	3	0.707	1.8	1.28	0.6	1.1	0.9	1.058
10	2.733	3	0.707	1.8	1.28	0.6	1.1	0.9	2.436
11	2.755	3	0.707	1.8	1.28	0.6	1.1	0.9	4.739
12	2.773	3	0.707	1.8	1.28	0.6	1.1	0.9	9.341
13	2.784	3	0.707	1.8	1.28	0.6	1.1	0.9	13.775
14	2.79	3	0.707	1.8	1.28	0.6	1.1	0.9	27.919
15	2.793	3	0.707	1.8	1.28	0.6	1.1	0.9	42.063
16	2.799	3	0.707	1.8	1.28	0.6	1.1	0.9	41.338
17	2.801	3	0.707	1.8	1.28	0.6	1.1	0.9	41.596
18	2.801	3	0.707	1.8	1.28	0.6	1.1	0.9	41.008
19	2.804	3	0.707	1.8	1.28	0.6	1.1	0.9	41.461
20	2.802	3	0.707	1.8	1.28	0.6	1.1	0.9	41.781
0	0.183	3	0.707	2	1.28	0.6	1.1	0.9	0.024
1	0.897	3	0.707	2	1.28	0.6	1.1	0.9	0.021
2	1.859	3	0.707	2	1.28	0.6	1.1	0.9	0.022
3	2.557	3	0.707	2	1.28	0.6	1.1	0.9	0.031
4	2.886	3	0.707	2	1.28	0.6	1.1	0.9	0.046
5	3.153	3	0.707	2	1.28	0.6	1.1	0.9	0.065
6	3.371	3	0.707	2	1.28	0.6	1.1	0.9	0.12
7	3.47	3	0.707	2	1.28	0.6	1.1	0.9	0.249
8	3.566	3	0.707	2	1.28	0.6	1.1	0.9	0.517
9	3.63	3	0.707	2	1.28	0.6	1.1	0.9	1.11
10	3.658	3	0.707	2	1.28	0.6	1.1	0.9	2.266
11	3.687	3	0.707	2	1.28	0.6	1.1	0.9	4.365
12	3.7	3	0.707	2	1.28	0.6	1.1	0.9	8.789
13	3.705	3	0.707	2	1.28	0.6	1.1	0.9	13.74
14	3.706	3	0.707	2	1.28	0.6	1.1	0.9	28.06
15	3.712	3	0.707	2	1.28	0.6	1.1	0.9	41.907
16	3.713	3	0.707	2	1.28	0.6	1.1	0.9	42.117
17	3.714	3	0.707	2	1.28	0.6	1.1	0.9	42.588
18	3.715	3	0.707	2	1.28	0.6	1.1	0.9	42.188
19	3.718	3	0.707	2	1.28	0.6	1.1	0.9	42.805
20	3.716	3	0.707	2	1.28	0.6	1.1	0.9	42.986
0	0.179	3	0.707	2.2	1.28	0.6	1.1	0.9	0.021
1	0.59	3	0.707	2.2	1.28	0.6	1.1	0.9	0.021
2	1.155	3	0.707	2.2	1.28	0.6	1.1	0.9	0.032
3	1.735	3	0.707	2.2	1.28	0.6	1.1	0.9	0.029
4	2.16	3	0.707	2.2	1.28	0.6	1.1	0.9	0.033
5	2.493	3	0.707	2.2	1.28	0.6	1.1	0.9	0.053
6	2.61	3	0.707	2.2	1.28	0.6	1.1	0.9	0.122
7	2.732	3	0.707	2.2	1.28	0.6	1.1	0.9	0.256
8	2.762	3	0.707	2.2	1.28	0.6	1.1	0.9	0.482
9	2.805	3	0.707	2.2	1.28	0.6	1.1	0.9	1.041
10	2.826	3	0.707	2.2	1.28	0.6	1.1	0.9	2.387
11	2.843	3	0.707	2.2	1.28	0.6	1.1	0.9	4.735
12	2.844	3	0.707	2.2	1.28	0.6	1.1	0.9	9.265
