Var1_1	Var1_2	Var1_3	Var1_4	Var1_5	Var1_6	Var1_7	Var1_8	Var1_9
7	4.5	2	0.707	0.7	0.95	0.3	1	0.012
8	4.435	2	0.707	0.7	0.95	0.3	1	0.013
9	4.481	2	0.707	0.7	0.95	0.3	1	0.016
10	4.474	2	0.707	0.7	0.95	0.3	1	0.02
11	4.479	2	0.707	0.7	0.95	0.3	1	0.021
12	4.48	2	0.707	0.7	0.95	0.3	1	0.025
13	4.48	2	0.707	0.7	0.95	0.3	1	0.037
14	4.487	2	0.707	0.7	0.95	0.3	1	0.043
15	4.481	2	0.707	0.7	0.95	0.3	1	0.051
16	4.48	2	0.707	0.7	0.95	0.3	1	0.056
17	4.48	2	0.707	0.7	0.95	0.3	1	0.077
18	4.48	2	0.707	0.7	0.95	0.3	1	0.09
19	4.481	2	0.707	0.7	0.95	0.3	1	0.104
20	4.48	2	0.707	0.7	0.95	0.3	1	0.134
0	0.544	2	0.707	0.8	0.95	0.3	1	0.009
1	1.837	2	0.707	0.8	0.95	0.3	1	0.009
2	3.091	2	0.707	0.8	0.95	0.3	1	0.01
3	3.709	2	0.707	0.8	0.95	0.3	1	0.014
4	4.177	2	0.707	0.8	0.95	0.3	1	0.01
5	4.277	2	0.707	0.8	0.95	0.3	1	0.01
6	4.292	2	0.707	0.8	0.95	0.3	1	0.014
7	4.444	2	0.707	0.8	0.95	0.3	1	0.015
8	4.325	2	0.707	0.8	0.95	0.3	1	0.017
9	4.346	2	0.707	0.8	0.95	0.3	1	0.019
10	4.356	2	0.707	0.8	0.95	0.3	1	0.022
11	4.358	2	0.707	0.8	0.95	0.3	1	0.024
12	4.359	2	0.707	0.8	0.95	0.3	1	0.029
13	4.358	2	0.707	0.8	0.95	0.3	1	0.033
14	4.358	2	0.707	0.8	0.95	0.3	1	0.038
15	4.358	2	0.707	0.8	0.95	0.3	1	0.051
16	4.358	2	0.707	0.8	0.95	0.3	1	0.058
17	4.358	2	0.707	0.8	0.95	0.3	1	0.07
18	4.358	2	0.707	0.8	0.95	0.3	1	0.093
19	4.358	2	0.707	0.8	0.95	0.3	1	0.121
20	4.358	2	0.707	0.8	0.95	0.3	1	0.185
0	0.532	2	0.707	0.85	0.95	0.3	1	0.01
1	1.749	2	0.707	0.85	0.95	0.3	1	0.014
2	2.968	2	0.707	0.85	0.95	0.3	1	0.01
3	3.664	2	0.707	0.85	0.95	0.3	1	0.011
4	4.155	2	0.707	0.85	0.95	0.3	1	0.015
5	4.235	2	0.707	0.85	0.95	0.3	1	0.015
6	4.248	2	0.707	0.85	0.95	0.3	1	0.013
7	4.373	2	0.707	0.85	0.95	0.3	1	0.014
8	4.282	2	0.707	0.85	0.95	0.3	1	0.019
9	4.301	2	0.707	0.85	0.95	0.3	1	0.021
10	4.308	2	0.707	0.85	0.95	0.3	1	0.023
11	4.311	2	0.707	0.85	0.95	0.3	1	0.029
12	4.309	2	0.707	0.85	0.95	0.3	1	0.031
13	4.309	2	0.707	0.85	0.95	0.3	1	0.038
14	4.309	2	0.707	0.85	0.95	0.3	1	0.048
15	4.309	2	0.707	0.85	0.95	0.3	1	0.062
16	4.309	2	0.707	0.85	0.95	0.3	1	0.067
17	4.309	2	0.707	0.85	0.95	0.3	1	0.079
18	4.309	2	0.707	0.85	0.95	0.3	1	0.095
19	4.309	2	0.707	0.85	0.95	0.3	1	0.129
20	4.309	2	0.707	0.85	0.95	0.3	1	0.146
0	0.522	2	0.707	0.9	0.95	0.3	1	0.014
1	1.638	2	0.707	0.9	0.95	0.3	1	0.013
2	2.768	2	0.707	0.9	0.95	0.3	1	0.009
3	3.496	2	0.707	0.9	0.95	0.3	1	0.01
4	4.047	2	0.707	0.9	0.95	0.3	1	0.013
5	4.087	2	0.707	0.9	0.95	0.3	1	0.012
6	4.118	2	0.707	0.9	0.95	0.3	1	0.015
7	4.184	2	0.707	0.9	0.95	0.3	1	0.012
8	4.146	2	0.707	0.9	0.95	0.3	1	0.017
9	4.163	2	0.707	0.9	0.95	0.3	1	0.02
10	4.166	2	0.707	0.9	0.95	0.3	1	0.02
11	4.174	2	0.707	0.9	0.95	0.3	1	0.02
12	4.169	2	0.707	0.9	0.95	0.3	1	0.025
13	4.17	2	0.707	0.9	0.95	0.3	1	0.035
14	4.169	2	0.707	0.9	0.95	0.3	1	0.039
15	4.169	2	0.707	0.9	0.95	0.3	1	0.05
16	4.169	2	0.707	0.9	0.95	0.3	1	0.067
17	4.169	2	0.707	0.9	0.95	0.3	1	0.072
18	4.169	2	0.707	0.9	0.95	0.3	1	0.1
19	4.169	2	0.707	0.9	0.95	0.3	1	0.102
20	4.169	2	0.707	0.9	0.95	0.3	1	0.152
0	0.504	2	0.707	1	0.95	0.3	1	0.011
1	1.407	2	0.707	1	0.95	0.3	1	0.012
2	2.258	2	0.707	1	0.95	0.3	1	0.013
3	2.865	2	0.707	1	0.95	0.3	1	0.009
4	3.468	2	0.707	1	0.95	0.3	1	0.013
5	3.484	2	0.707	1	0.95	0.3	1	0.012
6	3.585	2	0.707	1	0.95	0.3	1	0.01
7	3.594	2	0.707	1	0.95	0.3	1	0.013
8	3.592	2	0.707	1	0.95	0.3	1	0.014
9	3.608	2	0.707	1	0.95	0.3	1	0.016
10	3.606	2	0.707	1	0.95	0.3	1	0.018
11	3.608	2	0.707	1	0.95	0.3	1	0.022
12	3.609	2	0.707	1	0.95	0.3	1	0.028
13	3.608	2	0.707	1	0.95	0.3	1	0.032
14	3.608	2	0.707	1	0.95	0.3	1	0.043
15	3.608	2	0.707	1	0.95	0.3	1	0.058
16	3.608	2	0.707	1	0.95	0.3	1	0.072
17	3.608	2	0.707	1	0.95	0.3	1	0.074
18	3.608	2	0.707	1	0.95	0.3	1	0.093
19	3.608	2	0.707	1	0.95	0.3	1	0.118
20	3.608	2	0.707	1	0.95	0.3	1	0.147
0	0.489	2	0.707	1.1	0.95	0.3	1	0.01
1	1.225	2	0.707	1.1	0.95	0.3	1	0.012
2	1.845	2	0.707	1.1	0.95	0.3	1	0.014
3	2.236	2	0.707	1.1	0.95	0.3	1	0.012
4	2.495	2	0.707	1.1	0.95	0.3	1	0.015
5	3.171	2	0.707	1.1	0.95	0.3	1	0.012
6	3.269	2	0.707	1.1	0.95	0.3	1	0.015
7	3.297	2	0.707	1.1	0.95	0.3	1	0.016
